appid,currency,local_price,price_in_usd,relative_price_to_us
413410,USD,19.99,19.99,1.0
413410,CAD,21.99,16.852757176983072,0.8430593885434254
413410,CNY,68.0,9.881450207445063,0.49431967020735684
413410,TWD,468.0,14.95398773006135,0.7480734232146748
413410,USD,19.99,19.99,1.0
413410,BRL,36.99,11.819779517494807,0.5912846181838323
413410,JPY,2138.0,18.872004907780507,0.9440722815297903
413410,TRY,31.0,8.215772693421817,0.41099413173695937
413410,RUB,419.0,6.966439717019561,0.3484962339679621
413410,ARS,224.99,14.245283018867925,0.7126204611739833
413410,EUR,19.99,21.527470409151167,1.0769119764457813
413410,CLP,9500.0,14.701330857319714,0.7354342599959838
413410,INR,565.0,8.382092882490475,0.4193143012751614
413410,IDR,135999.0,10.185614211777812,0.5095354783280547
413410,MYR,38.0,8.577547006650533,0.429091896280667
413410,MXN,179.99,8.6893467999944,0.43468468234089047
413410,PHP,499.95,10.046494602302491,0.5025760181241867
413410,PLN,71.99,18.005859220142952,0.9007433326734844
413410,KRW,21000.0,18.21414632030877,0.9111628974641707
413410,THB,369.0,10.500853727945362,0.5253053390668015
413410,UAH,279.0,10.313886690975401,0.5159523107041222
413410,GBP,14.99,18.97907996409295,0.9494287125609281
413410,COP,40000.0,13.6656360499479,0.6836236143045473
413410,KZT,2650.0,8.120850737503947,0.4062456597050499
413410,NOK,140.0,17.004516035076428,0.8506511273174802
413410,PEN,49.95,15.280883752091754,0.7644264008049902
413410,SGD,20.0,14.15308972563528,0.7080084905270275
413410,VND,188000.0,8.323439410329721,0.41638016059678445
413410,HKD,119.0,15.336156303012034,0.7671914108560298
413410,ILS,73.95,19.59719093679608,0.9803497217006544
413410,NZD,23.99,17.409453064506412,0.8709081072789602
413410,ZAR,219.0,16.265028161893625,0.8136582372132879
413410,CHF,19.0,19.133706339903245,0.9571638989446346
413410,CRC,8500.0,15.375554994450303,0.7691623308879592
413410,SAR,56.0,14.93472724120918,0.7471099170189686
413410,AED,62.0,16.880950364832735,0.8444697531181959
413410,UYU,429.0,15.241869279902327,0.7624747013457893
413410,KWD,3.35,10.988974941856842,0.5497236088972908
413410,QAR,41.99,11.531595858621921,0.5768682270446184
553320,USD,19.99,19.99,1.0
553320,CAD,21.99,16.852757176983072,0.8430593885434254
553320,CNY,68.0,9.881450207445063,0.49431967020735684
553320,TWD,468.0,14.95398773006135,0.7480734232146748
553320,USD,19.99,19.99,1.0
553320,BRL,36.99,11.819779517494807,0.5912846181838323
553320,JPY,1980.0,17.47734785659748,0.8743045451024253
553320,TRY,31.0,8.215772693421817,0.41099413173695937
553320,RUB,419.0,6.966439717019561,0.3484962339679621
553320,EUR,19.99,21.527470409151167,1.0769119764457813
553320,CLP,9500.0,14.701330857319714,0.7354342599959838
553320,INR,565.0,8.382092882490475,0.4193143012751614
553320,IDR,135999.0,10.185614211777812,0.5095354783280547
553320,MYR,38.0,8.577547006650533,0.429091896280667
